model,backend,precision,model_revision,dataset,run_path,status,instances,rollouts,expected_rollouts,min_rollouts_per_instance,max_rollouts_per_instance,scored_rollouts,scored_rollout_rate,capped_rollouts,capped_rollout_rate,accuracy,mixed_instances,mixed_instance_rate,frontier_instances,frontier_instance_rate,classification,capture_enabled,temperature,top_p,evaluated_at,notes
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,apple/GSM-Symbolic,runs/SmolLM3-3B/frontier_identification/gsm_symbolic_p1_screen,completed,20,200,200,10,10,200,1.0000,2,0.0100,0.7700,8,0.4000,4,0.2000,frontier,False,0.6,0.95,2026-06-26T20:21:00+00:00,P1 adds one clause beyond base GSM-Symbolic; concise thinking prompt and 1536-token cap.
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,apple/GSM-Symbolic,runs/SmolLM3-3B/frontier_identification/gsm_symbolic_p1_frontier_expand,completed,80,800,800,10,10,800,1.0000,22,0.0275,0.6913,43,0.5375,30,0.3750,frontier,False,0.6,0.95,2026-06-26T20:21:00+00:00,P1 expansion after the first 20 shuffled items; target about 16 additional clean frontier instances.
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,apple/GSM-Symbolic,runs/SmolLM3-3B/frontier_identification/gsm_symbolic_p1_forced_think_screen,completed,100,1000,1000,10,10,1000,1.0000,129,0.1290,0.8570,35,0.3500,15,0.1500,middling,False,0.6,0.95,2026-06-27T10:37:03+00:00,Paired 100-question P1 screen with forced reasoning initiation; 14 mixed items below 80% pass rate selected for the long-cap capture run.
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,apple/GSM-Symbolic,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,completed,300,1500,1500,5,5,1500,1.0000,118,0.0787,0.8900,61,0.2033,61,0.2033,middling,False,0.6,0.95,2026-06-28T12:56:04+00:00,"Three hundred new P1 instances after the first 100 shuffled items; two GPU replicas, forced-prefix reasoning, and cap finalization target at least 50 new mixed/frontier instances."
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,evalplus/mbppplus,runs/SmolLM3-3B/frontier_identification/mbppplus_codegen_screen,completed,20,200,200,10,10,0,0.0000,3,0.0150,,0,,0,,unscored,False,0.6,0.95,2026-06-26T16:11:43+00:00,Compact code construction; same selected MBPP+ tasks as Qwen3-4B; test-based grading required.
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192/dataset.jsonl,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,completed,18,90,90,5,5,90,1.0000,15,0.1667,0.7333,14,0.7778,14,0.7778,frontier,False,0.6,0.95,2026-06-28T12:56:04+00:00,
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed/dataset.jsonl,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,completed,14,140,140,10,10,140,1.0000,12,0.0857,0.6000,10,0.7143,6,0.4286,frontier,True,0.6,0.95,2026-06-27T15:42:04+00:00,Fourteen forced-prefix mixed items below 80% pass rate; 8192-token cap and final-layer latent capture.
HuggingFaceTB/SmolLM3-3B,hf,bfloat16,a07cc9a04f16550a088caea529712d1d335b0ac1,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed_cap4096/dataset.jsonl,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed_cap4096,prepared,10,100,100,10,10,,,,,,,,,,pending,True,0.6,0.95,,Ten mixed items from the 8192-token run; 4096-token primary cap with forced answer finalization and 3-4 additional tokens.
Qwen/Qwen3-14B,hf,float16,40c069824f4251a91eefaf281ebe4c544efd3e18,Hothan/OlympiadBench,runs/Qwen3-14B/olympiadbench_math_frontier_screen,prepared,12,120,120,10,10,,,,,,,,,,pending,false,0.7,0.95,,Twelve text-only open-ended competition math problems; approximately three hours at 22 tokens per second.
Qwen/Qwen3-14B,hf,float16,40c069824f4251a91eefaf281ebe4c544efd3e18,HuggingFaceH4/aime_2024,runs/Qwen3-14B/aime_2024_frontier_screen,partial,1,5,120,5,5,5,1.0000,5,1.0000,0.0000,0,0.0000,0,0.0000,partial,False,0.7,0.95,2026-06-26T15:57:11+00:00,Twelve AIME 2024 problems; approximately three hours at 22 tokens per second.
