sample_id,inventory_group,latest_run,rollouts,correct,incorrect,pass_rate,capped_rollouts,robust_without_caps
gsm_symbolic_10_13,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_10_32,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,2,3,0.4000,0,True
gsm_symbolic_10_49,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,0,True
gsm_symbolic_11_11,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_14_6,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,3,2,0.6000,0,True
gsm_symbolic_16_20,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,1,True
gsm_symbolic_17_25,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,2,True
gsm_symbolic_20_4,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,1,True
gsm_symbolic_28_25,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,3,2,0.6000,1,True
gsm_symbolic_28_37,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,0,True
gsm_symbolic_28_44,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,2,True
gsm_symbolic_30_45,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_30_5,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_34_11,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,0,True
gsm_symbolic_34_37,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_40_0,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_40_12,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,0,True
gsm_symbolic_40_44,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,1,4,0.2000,1,True
gsm_symbolic_44_42,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_45_5,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,2,3,0.4000,3,True
gsm_symbolic_4_11,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_4_38,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_51_6,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_5_43,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,3,2,0.6000,3,False
gsm_symbolic_5_45,previous_mixed_capture,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_mixed,10,9,1,0.9000,1,False
gsm_symbolic_60_10,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,1,True
gsm_symbolic_60_40,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,0,True
gsm_symbolic_60_41,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,2,3,0.4000,0,True
gsm_symbolic_61_15,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,2,3,0.4000,1,True
gsm_symbolic_61_8,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,1,True
gsm_symbolic_65_13,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,4,1,0.8000,1,True
gsm_symbolic_65_49,frontier_robust,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_300,5,3,2,0.6000,1,True
gsm_symbolic_6_1,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,4,1,0.8000,0,True
gsm_symbolic_6_10,frontier_capped_rerun,runs/SmolLM3-3B/frontier_identification/gsm_symb_prefixed_frontier_capped_8192,5,2,3,0.4000,1,True
